;kamera1;kamera2;kamera1_koord;kamera2_koord;distance;duration
7844;F59;Gy24B;47.142844, 18.531573;46.682081838166, 17.370049702348;119474;3932
7845;F59;Gy24J;47.142844, 18.531573;46.685347295949, 17.387656451782;120872;3977
7846;F59;Gy25B;47.142844, 18.531573;46.44171667261, 16.810656899812;171402;5585
7847;F59;Gy25J;47.142844, 18.531573;46.441965611122, 16.811198315858;171352;5584
7848;F59;Gy26B;47.142844, 18.531573;46.908495716101, 18.939777323335;47836;1957
7849;F59;Gy26J;47.142844, 18.531573;46.908565366842, 18.939424208168;47808;1956
7850;F59;Gy27J;47.142844, 18.531573;46.351813245779, 18.886396647804;121892;4189
7851;F59;Gy28B;47.142844, 18.531573;47.246161, 18.649078;21056;751
7852;F59;Gy28J;47.142844, 18.531573;47.246194, 18.648449;26819;991
7853;F59;Gy29B;47.142844, 18.531573;47.690797, 17.522883;126218;5947
7854;F59;Gy30B;47.142844, 18.531573;47.615748, 19.346989;114110;3910
7855;F59;Gy31B;47.142844, 18.531573;47.671580, 19.634506;137298;4639
7856;F59;Gy31J;47.142844, 18.531573;47.671580, 19.634506;137298;4639
7857;F59;Gy32B;47.142844, 18.531573;47.361165, 19.219698;81116;2806
7858;F59;Gy32J;47.142844, 18.531573;47.362003, 19.222118;77999;2650
7859;F59;Gy33B;47.142844, 18.531573;47.598917, 19.126993;81215;3821
7860;F59;Gy33J;47.142844, 18.531573;47.588365, 19.143022;80977;3803
7861;F59;Gy34B;47.142844, 18.531573;47.9170992883, 17.1225847247;149752;6906
7862;F59;Gy34J;47.142844, 18.531573;47.9105799674, 17.1336359154;142919;6455
7863;F59;Gy35B;47.142844, 18.531573;46.2165172448, 20.7363822270;275267;9711
7864;F59;Gy35J;47.142844, 18.531573;46.2154648690, 20.7062448209;266933;8818
7865;F59;Gy36B;47.142844, 18.531573;46.5109208466, 16.5523413490;219705;7327
7866;F59;Gy36J;47.142844, 18.531573;46.5110973558, 16.5519989224;196838;6449
7867;F59;Gy37B;47.142844, 18.531573;47.6932, 19.1723;104217;4670
7868;F59;Gy37J;47.142844, 18.531573;47.643, 19.1646;88312;4078
7869;Gy1B;F1;47.474802619374, 18.852435494437;47.736861467104, 18.369289524965;72468;3142
7870;Gy1B;F2;47.474802619374, 18.852435494437;47.725765423977, 18.046694497329;86214;3194
7871;Gy1B;F3;47.474802619374, 18.852435494437;47.884396938888, 17.241676802774;153359;5502
7872;Gy1B;F4;47.474802619374, 18.852435494437;47.934507652422, 19.139606641347;81898;4357
7873;Gy1B;F5;47.474802619374, 18.852435494437;48.437441677622, 21.183738300599;269033;8878
7874;Gy1B;F6;47.474802619374, 18.852435494437;47.152434273387, 20.196192733715;125113;4337
7875;Gy1B;F7;47.474802619374, 18.852435494437;48.343852343168, 22.129595653448;336798;11477
7876;Gy1B;F8;47.474802619374, 18.852435494437;46.231269471029, 20.081542735727;183042;6131
7877;Gy1B;F9;47.474802619374, 18.852435494437;45.967191886124, 17.524083222114;232770;8798
7878;Gy1B;F10;47.474802619374, 18.852435494437;46.437667890627, 16.747927021544;220516;7272
7879;Gy1B;F11;47.474802619374, 18.852435494437;46.974156304231, 16.379539316509;254925;9201
7880;Gy1B;F12;47.474802619374, 18.852435494437;47.82243068262, 18.98717170425;74270;3979
7881;Gy1B;F13;47.474802619374, 18.852435494437;47.683196594979, 18.097306861786;74316;2570
7882;Gy1B;F14;47.474802619374, 18.852435494437;47.745363022052, 17.647400881226;109861;3878
7883;Gy1B;F15;47.474802619374, 18.852435494437;48.031849194332, 19.807710583946;144798;5483
7884;Gy1B;F16;47.474802619374, 18.852435494437;48.25793719325, 20.350423487823;226026;9613
7885;Gy1B;F17;47.474802619374, 18.852435494437;48.293129223365, 20.448498019056;233729;9760
7886;Gy1B;F18;47.474802619374, 18.852435494437;47.60481625158, 20.779148307593;190903;7041
7887;Gy1B;F19;47.474802619374, 18.852435494437;47.913879672699, 21.073258954162;217581;7253
7888;Gy1B;F20;47.474802619374, 18.852435494437;48.376345640262, 21.633176054916;296101;10607
7889;Gy1B;F21;47.474802619374, 18.852435494437;48.066597247215, 21.53206912197;287096;9579
7890;Gy1B;F22;47.474802619374, 18.852435494437;48.089160008212, 22.27659217874;324100;10339
7891;Gy1B;F23;47.474802619374, 18.852435494437;47.144221988453, 21.675450249618;249716;9991
7892;Gy1B;F24;47.474802619374, 18.852435494437;46.167056244213, 20.627359497593;227433;7807
7893;Gy1B;F25;47.474802619374, 18.852435494437;46.876397341333, 20.022332770319;126429;4897
7894;Gy1B;F26;47.474802619374, 18.852435494437;46.655024556317,21.225962687052;230705;8662
7895;Gy1B;F27B;47.474802619374, 18.852435494437;46.379079490009, 20.248264839326;196618;6745
7896;Gy1B;F27J;47.474802619374, 18.852435494437;46.378973739396, 20.247963372239;196644;6746
7897;Gy1B;F28;47.474802619374, 18.852435494437;47.526258855137, 21.919988317573;294906;10667
7898;Gy1B;F29;47.474802619374, 18.852435494437;47.857086975049, 22.637265932974;347928;12275
7899;Gy1B;F30;47.474802619374, 18.852435494437;46.803526155586, 18.928004380753;89902;3201
7900;Gy1B;F31;47.474802619374, 18.852435494437;46.263345770897, 19.533663359931;175474;7108
7901;Gy1B;F32;47.474802619374, 18.852435494437;46.201513590529, 18.820681199919;172079;5536
7902;Gy1B;F33;47.474802619374, 18.852435494437;45.971233620929, 18.673734618994;199356;6422
7903;Gy1B;F34;47.474802619374, 18.852435494437;45.8784138959, 18.236275560019;235919;7735
7904;Gy1B;F35;47.474802619374, 18.852435494437;46.058445164555, 17.448098903741;230364;8752
7905;Gy1B;F36;47.474802619374, 18.852435494437;46.702458506694, 16.788524126318;216110;7954
7906;Gy1B;F37;47.474802619374, 18.852435494437;47.635056880418, 16.652330516763;196950;6715
7907;Gy1B;F38;47.474802619374, 18.852435494437;46.811901582638, 16.565857119342;249034;9411
7908;Gy1B;F39;47.474802619374, 18.852435494437;47.288863417887, 16.610039047667;213605;7436
7909;Gy1B;F40;47.474802619374, 18.852435494437;47.245496499058, 16.534248410882;217881;7630
7910;Gy1B;F41;47.474802619374, 18.852435494437;47.910361887547, 17.251715607309;155633;5626
7911;Gy1B;F42;47.474802619374, 18.852435494437;46.195044659138, 20.448144697766;209677;7294
7912;Gy1B;F43;47.474802619374, 18.852435494437;46.683815901125, 20.183667378285;158123;5758
7913;Gy1B;F45BJ;47.474802619374, 18.852435494437;47.11432337191, 17.848645761646;110625;4165
7914;Gy1B;F46B;47.474802619374, 18.852435494437;47.653403571486, 17.416396700878;128566;4358
7915;Gy1B;F46J;47.474802619374, 18.852435494437;47.653506839605, 17.416740354468;128538;4357
7916;Gy1B;F47B;47.474802619374, 18.852435494437;47.297160417543, 16.832093255331;191115;6438
7917;Gy1B;F47J;47.474802619374, 18.852435494437;47.297002459483, 16.831835285078;191141;6439
7918;Gy1B;F48;47.474802619374, 18.852435494437;48.0530521654, 19.0114679159;100369;5352
7919;Gy1B;F49;47.474802619374, 18.852435494437;48.1426427598, 19.8152150078;157878;6270
7920;Gy1B;F50;47.474802619374, 18.852435494437;48.0690258518, 19.2623480794;103001;5419
7921;Gy1B;F51;47.474802619374, 18.852435494437;48.0794121975, 19.3191435939;109130;5881
7922;Gy1B;F52;47.474802619374, 18.852435494437;46.7540706013, 21.4327698605;247818;9829
7923;Gy1B;F53;47.474802619374, 18.852435494437;46.2648471088, 21.0934356268;267358;9750
7924;Gy1B;F54;47.474802619374, 18.852435494437;47.3000376989, 21.5558389074;241775;9645
7925;Gy1B;F55;47.474802619374, 18.852435494437;47.3981145129, 19.3601850460;49198;1830
7926;Gy1B;F56;47.474802619374, 18.852435494437;47.4059475850, 16.5285647459;214682;8072
7927;Gy1B;F57;47.474802619374, 18.852435494437;47.2476159053, 16.4811625856;221986;7793
7928;Gy1B;F58;47.474802619374, 18.852435494437;47.348734, 19.120951;28417;1094
7929;Gy1B;F59;47.474802619374, 18.852435494437;47.142844, 18.531573;55654;1924
7930;Gy1B;Gy1B;47.474802619374, 18.852435494437;47.474802619374, 18.852435494437;0;0
7931;Gy1B;Gy1J;47.474802619374, 18.852435494437;47.471964836026, 18.858080126141;529;18
7932;Gy1B;Gy2B;47.474802619374, 18.852435494437;47.612770144674, 18.353556331481;52183;1812
7933;Gy1B;Gy2J;47.474802619374, 18.852435494437;47.683114431378, 18.003415637292;85168;3030
7934;Gy1B;Gy3B;47.474802619374, 18.852435494437;47.684437713539, 17.835527389107;92762;3128
7935;Gy1B;Gy3J;47.474802619374, 18.852435494437;47.6844259551, 17.83587320896;92736;3127
7936;Gy1B;Gy4B;47.474802619374, 18.852435494437;47.878391089477, 17.202565947927;151946;5108
7937;Gy1B;Gy4J;47.474802619374, 18.852435494437;47.878249198926, 17.20284198652;151920;5107
7938;Gy1B;Gy6B;47.474802619374, 18.852435494437;47.602227193286, 19.283884218405;42548;2481
7939;Gy1B;Gy6J;47.474802619374, 18.852435494437;47.593511108609, 19.210992980928;36674;2291
7940;Gy1B;Gy7B;47.474802619374, 18.852435494437;47.731817779639, 19.96258985111;144303;4831
7941;Gy1B;Gy7J;47.474802619374, 18.852435494437;47.732635548066, 19.949321966416;119599;4015
7942;Gy1B;Gy8B;47.474802619374, 18.852435494437;47.848589776483, 21.067835868077;211292;6795
7943;Gy1B;Gy8J;47.474802619374, 18.852435494437;47.861450724727, 21.043855642447;208988;6722
7944;Gy1B;Gy9B;47.474802619374, 18.852435494437;47.902948731815, 21.569037024339;272777;8785
7945;Gy1B;Gy9J;47.474802619374, 18.852435494437;47.899315872821, 21.548572633098;255611;8164
7946;Gy1B;Gy10B;47.474802619374, 18.852435494437;48.050402819184, 20.851648270691;213994;6899
7947;Gy1B;Gy10J;47.474802619374, 18.852435494437;48.048597304585, 20.852645963515;213780;6891
7948;Gy1B;Gy11B;47.474802619374, 18.852435494437;47.618814282026, 21.517286368554;257386;8228
7949;Gy1B;Gy11J;47.474802619374, 18.852435494437;47.61860051674, 21.517389377156;257411;8229
7950;Gy1B;Gy12B;47.474802619374, 18.852435494437;46.28526689547, 20.25356092992;187370;6174
7951;Gy1B;Gy13B;47.474802619374, 18.852435494437;47.310577659191, 19.2720015943;40389;1439
7952;Gy1B;Gy13J;47.474802619374, 18.852435494437;47.310726596496, 19.271736511801;40363;1438
