kamera1;kamera2;kamera1_koord;kamera2_koord
F12;Gy2J;47.82243068262, 18.98717170425;47.683114431378, 18.003415637292
F12;Gy30B;47.82243068262, 18.98717170425;47.615748, 19.346989
F12;Gy31B;47.82243068262, 18.98717170425;47.671580, 19.634506
F12;Gy31J;47.82243068262, 18.98717170425;47.671580, 19.634506
F12;Gy32B;47.82243068262, 18.98717170425;47.361165, 19.219698
F12;Gy32J;47.82243068262, 18.98717170425;47.362003, 19.222118
F12;Gy37B;47.82243068262, 18.98717170425;47.6932, 19.1723
F12;Gy37J;47.82243068262, 18.98717170425;47.643, 19.1646
F12;Gy4B;47.82243068262, 18.98717170425;47.878391089477, 17.202565947927
F12;Gy6B;47.82243068262, 18.98717170425;47.602227193286, 19.283884218405
F12;Gy6J;47.82243068262, 18.98717170425;47.593511108609, 19.210992980928
F12;Gy7J;47.82243068262, 18.98717170425;47.732635548066, 19.949321966416
F13;F1;47.683196594979, 18.097306861786;47.736861467104, 18.369289524965
F13;F11;47.683196594979, 18.097306861786;46.974156304231, 16.379539316509
F13;F12;47.683196594979, 18.097306861786;47.82243068262, 18.98717170425
F13;F13;47.683196594979, 18.097306861786;47.683196594979, 18.097306861786
F13;F14;47.683196594979, 18.097306861786;47.745363022052, 17.647400881226
F13;F15;47.683196594979, 18.097306861786;48.031849194332, 19.807710583946
F13;F16;47.683196594979, 18.097306861786;48.25793719325, 20.350423487823
F13;F17;47.683196594979, 18.097306861786;48.293129223365, 20.448498019056
F13;F2;47.683196594979, 18.097306861786;47.725765423977, 18.046694497329
F13;F20;47.683196594979, 18.097306861786;48.376345640262, 21.633176054916
F13;F23;47.683196594979, 18.097306861786;47.144221988453, 21.675450249618
F13;F3;47.683196594979, 18.097306861786;47.884396938888, 17.241676802774
F13;F30;47.683196594979, 18.097306861786;46.803526155586, 18.928004380753
F13;F31;47.683196594979, 18.097306861786;46.263345770897, 19.533663359931
F13;F32;47.683196594979, 18.097306861786;46.201513590529, 18.820681199919
F13;F34;47.683196594979, 18.097306861786;45.8784138959, 18.236275560019
F13;F35;47.683196594979, 18.097306861786;46.058445164555, 17.448098903741
F13;F36;47.683196594979, 18.097306861786;46.702458506694, 16.788524126318
F13;F37;47.683196594979, 18.097306861786;47.635056880418, 16.652330516763
F13;F38;47.683196594979, 18.097306861786;46.811901582638, 16.565857119342
F13;F39;47.683196594979, 18.097306861786;47.288863417887, 16.610039047667
F13;F4;47.683196594979, 18.097306861786;47.934507652422, 19.139606641347
F13;F40;47.683196594979, 18.097306861786;47.245496499058, 16.534248410882
F13;F41;47.683196594979, 18.097306861786;47.910361887547, 17.251715607309
F13;F43;47.683196594979, 18.097306861786;46.683815901125, 20.183667378285
F13;F45BJ;47.683196594979, 18.097306861786;47.11432337191, 17.848645761646
F13;F46B;47.683196594979, 18.097306861786;47.653403571486, 17.416396700878
F13;F46J;47.683196594979, 18.097306861786;47.653506839605, 17.416740354468
F13;F47B;47.683196594979, 18.097306861786;47.297160417543, 16.832093255331
F13;F47J;47.683196594979, 18.097306861786;47.297002459483, 16.831835285078
F13;F48;47.683196594979, 18.097306861786;48.0530521654, 19.0114679159
F13;F49;47.683196594979, 18.097306861786;48.1426427598, 19.8152150078
F13;F50;47.683196594979, 18.097306861786;48.0690258518, 19.2623480794
F13;F51;47.683196594979, 18.097306861786;48.0794121975, 19.3191435939
F13;F54;47.683196594979, 18.097306861786;47.3000376989, 21.5558389074
F13;F55;47.683196594979, 18.097306861786;47.3981145129, 19.3601850460
F13;F56;47.683196594979, 18.097306861786;47.4059475850, 16.5285647459
F13;F58;47.683196594979, 18.097306861786;47.348734, 19.120951
F13;F59;47.683196594979, 18.097306861786;47.142844, 18.531573
F13;F6;47.683196594979, 18.097306861786;47.152434273387, 20.196192733715
